우선순위,유형,대상,현재상태,제안사항,예상효과
1,노선추가,한솔동,"노선 2개, 수요 6,267,806",한솔동에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,반곡동,"노선 0개, 수요 3,572,253",반곡동에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,연기면,"노선 1개, 수요 3,506,505",연기면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,금남면,"노선 0개, 수요 1,508,687",금남면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,장군면,"노선 0개, 수요 1,129,797",장군면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,전의면,"노선 2개, 수요 660,406",전의면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,부강면,"노선 1개, 수요 425,731",부강면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,전동면,"노선 0개, 수요 425,519",전동면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
1,노선추가,소정면,"노선 0개, 수요 113,614",소정면에 추가 노선 배치 필요 (고수요 지역),"미커버 지역 해소, 주민 접근성 향상"
2,노선조정,노선 32,"수요밀도 1,173/km",경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
2,노선조정,노선 33,수요밀도 919/km,경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
2,노선조정,노선 35,수요밀도 0/km,경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
2,노선조정,노선 81,수요밀도 0/km,경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
2,노선조정,노선 83,수요밀도 0/km,경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
2,노선조정,노선 84,수요밀도 0/km,경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
2,노선조정,노선 85,수요밀도 0/km,경로 재조정 또는 고수요 지역 경유 추가,"노선 효율성 향상, 운영 비용 절감"
